,player,position,Fantasy Points,FP deviation
110,Todd Gurley,RB,18.515,1.38083670287
33,Adrian Peterson,RB,17.9128571429,4.4737967257
45,Lamar Miller,RB,17.5266666667,3.73048879728
130,Ezekiel Elliott,RB,17.2716666667,4.84912122623
28,DeAngelo Williams,RB,17.1783333333,3.51248867139
81,Devonta Freeman,RB,16.97,2.30104324166
118,David Johnson,RB,16.7366666667,2.44817210724
43,Doug Martin,RB,15.5071428571,2.79881947903
22,Mark Ingram,RB,14.9914285714,2.41953458728
76,Latavius Murray,RB,14.6366666667,2.02913446244
9,LeSean McCoy,RB,14.5733333333,3.74287411846
69,Eddie Lacy,RB,13.5028571429,2.24947930483
17,DeMarco Murray,RB,13.1666666667,3.27363813924
71,Spencer Ware,RB,13.0766666667,3.91198500338
1,Matt Forte,RB,12.6916666667,1.37325040203
13,Ryan Mathews,RB,12.5866666667,2.19524637949
89,Carlos Hyde,RB,11.4616666667,1.84916647889
104,Jeremy Langford,RB,11.1866666667,1.85390039287
30,Frank Gore,RB,11.0366666667,1.40525679741
68,Giovani Bernard,RB,10.8542857143,1.37214985993
8,Arian Foster,RB,10.81,3.40173485151
108,Melvin Gordon,RB,10.7516666667,1.50350811992
106,Duke Johnson,RB,10.7183333333,1.63069821447
7,Rashad Jennings,RB,10.69,1.15026953363
75,C.J. Anderson,RB,10.59,5.32003132823
84,Jeremy Hill,RB,10.2516666667,4.20250123934
4,Jonathan Stewart,RB,10.1683333333,1.99978415502
3,Justin Forsett,RB,9.955,2.71450732178
5,Danny Woodhead,RB,9.53428571429,2.54674208315
66,Theo Riddick,RB,9.46666666667,1.78145633308
101,Ameer Abdullah,RB,9.22833333333,1.69785060199
90,Charles Sims,RB,9.20166666667,1.09318647388
31,Darren Sproles,RB,8.93333333333,1.058294225
115,Matt Jones,RB,8.89166666667,1.50225719059
91,James White,RB,8.87666666667,2.24711073752
141,Derrick Henry,RB,8.71833333333,2.39333588672
92,Isaiah Crowell,RB,8.69833333333,0.959946179047
109,T.J. Yeldon,RB,8.685,1.9273582957
62,Christine Michael,RB,8.67,3.03070398862
19,Bilal Powell,RB,8.58571428571,1.17977197151
27,Shane Vereen,RB,8.28166666667,0.405285907313
12,LeGarrette Blount,RB,7.95428571429,2.75389334787
35,Chris Ivory,RB,7.88166666667,2.57778522509
125,Thomas Rawls,RB,7.77833333333,3.36758320857
95,Charcandrick West,RB,7.74333333333,1.83238278388
65,Chris Thompson,RB,7.27833333333,2.33161246065
21,Shaun Draughn,RB,6.80833333333,1.46777950206
113,Javorius Allen,RB,6.68833333333,3.10159582581
77,Benny Cunningham,RB,6.384,1.34943691961
85,Terrance West,RB,6.33666666667,2.10897763541
129,Devontae Booker,RB,6.27333333333,1.21585635116
16,James Starks,RB,6.21,2.37519122037
105,Tevin Coleman,RB,6.13666666667,1.31206199041
88,Jerick McKinnon,RB,5.84333333333,1.05944639632
140,DeAndre Washington,RB,5.75833333333,1.79261168876
47,Alfred Morris,RB,5.54833333333,2.27516519547
112,Jay Ajayi,RB,5.485,0.939781889589
2,Chris Johnson,RB,4.65,1.64543003498
15,C.J. Spiller,RB,4.56166666667,2.42894558742
6,Tim Hightower,RB,4.53166666667,1.97858956498
145,Rob Kelley,RB,4.408,1.8888938562
79,KaDeem Carey,RB,4.15333333333,0.977704795256
100,Fitzgerald Toussaint,RB,4.01333333333,0.969405315988
32,Reggie Bush,RB,4.005,1.26680306283
56,Andre Ellington,RB,3.98333333333,0.980217662903
63,Mike Gillislee,RB,3.915,1.96261814931
134,C.J. Prosise,RB,3.81333333333,2.32702098544
83,Alfred Blue,RB,3.58666666667,1.9142065371
48,Robert Turbin,RB,3.53,1.15372440383
34,Mike Tolbert,RB,3.42571428571,0.603485905465
133,Tyler Ervin,RB,3.42333333333,1.03606306114
138,Paul Perkins,RB,3.3375,2.10998222741
135,Jordan Howard,RB,3.13333333333,1.44591378258
102,Cameron Artis-Payne,RB,3.00833333333,1.8822690208
