,player,position,Fantasy Points,FP deviation
119,David Johnson,RB,16.912,1.64759521728
33,Adrian Peterson,RB,16.325,4.63771818894
28,DeAngelo Williams,RB,16.24,3.86111382894
45,Lamar Miller,RB,15.252,1.06595966153
111,Todd Gurley,RB,14.92,3.248976762
42,Doug Martin,RB,14.7333333333,3.62333363999
131,Ezekiel Elliott,RB,14.702,1.13341078167
1,Matt Forte,RB,14.55,2.43377279137
82,Devonta Freeman,RB,14.436,0.563054171461
22,Mark Ingram,RB,14.3833333333,2.43430209026
7,Rashad Jennings,RB,13.792,2.34272704343
105,Jeremy Langford,RB,13.174,2.53661782695
76,Latavius Murray,RB,12.936,1.29006976556
17,DeMarco Murray,RB,12.752,1.61733422644
70,Eddie Lacy,RB,12.74,1.72822452245
9,LeSean McCoy,RB,12.65,1.88109010948
72,Spencer Ware,RB,12.214,2.96820316016
75,C.J. Anderson,RB,12.0033333333,6.09554154007
13,Ryan Mathews,RB,11.892,2.04356795825
109,Melvin Gordon,RB,11.724,0.843492738558
3,Justin Forsett,RB,11.628,2.01953459985
4,Jonathan Stewart,RB,11.274,1.91570613613
69,Giovani Bernard,RB,11.2,1.52901275338
8,Arian Foster,RB,11.136,1.88505437587
5,Danny Woodhead,RB,10.93,2.87481477664
67,Theo Riddick,RB,10.722,1.55721546358
102,Ameer Abdullah,RB,10.578,2.40893544953
110,T.J. Yeldon,RB,10.442,3.37307278309
116,Matt Jones,RB,10.366,1.64743133393
107,Duke Johnson,RB,10.358,1.55785750311
90,Carlos Hyde,RB,10.292,1.24389308222
12,LeGarrette Blount,RB,10.155,3.34132758047
30,Frank Gore,RB,9.986,1.00226244068
27,Shane Vereen,RB,9.872,1.79963051763
63,Christine Michael,RB,9.124,2.54108834951
91,Charles Sims,RB,9.112,0.732714132524
85,Jeremy Hill,RB,9.05,1.31514257782
126,Thomas Rawls,RB,8.944,1.62902731714
35,Chris Ivory,RB,8.925,2.72858327098
93,Isaiah Crowell,RB,8.73,0.974037986939
86,Terrance West,RB,8.56,0.98610344285
31,Darren Sproles,RB,8.382,0.563799609791
106,Tevin Coleman,RB,8.108,0.923672019713
19,Bilal Powell,RB,8.05666666667,0.929616408346
92,James White,RB,7.92,2.25388553392
66,Chris Thompson,RB,7.862,2.38878002336
142,Derrick Henry,RB,6.976,0.787832469501
21,Shaun Draughn,RB,6.196,0.695578895597
16,James Starks,RB,6.07833333333,2.52496666645
130,Devontae Booker,RB,6.016,1.02400195312
89,Jerick McKinnon,RB,5.758,0.857624626512
77,Benny Cunningham,RB,5.445,0.939592110085
47,Alfred Morris,RB,5.434,2.44928152731
34,Mike Tolbert,RB,5.06833333333,2.87828015778
6,Tim Hightower,RB,4.916,1.76791685325
80,KaDeem Carey,RB,4.906,1.42412429233
141,DeAndre Washington,RB,4.596,1.90184910022
113,Jay Ajayi,RB,4.59,1.45433833753
96,Charcandrick West,RB,4.544,2.76793786057
32,Reggie Bush,RB,4.32,0.71526218969
2,Chris Johnson,RB,4.146,1.49336197889
55,Travaris Cadet,RB,4.046,3.13563071805
57,Andre Ellington,RB,4.01666666667,0.44951826066
146,Rob Kelley,RB,3.495,2.13943138863
64,Mike Gillislee,RB,3.316,1.90858062444
101,Fitzgerald Toussaint,RB,3.246,0.716086586943
84,Alfred Blue,RB,3.19,0.946335035809
68,Fozzy Whittaker,RB,3.158,1.86849404602
140,Wendell Smallwood,RB,3.155,2.23726767881
136,Jordan Howard,RB,3.044,2.5431044021
48,Robert Turbin,RB,2.898,0.909048953577
99,Damien Williams,RB,2.838,2.02761436176
114,Javorius Allen,RB,2.8125,1.7480727483
135,C.J. Prosise,RB,2.738,1.14602355997
74,Kyle Juszczyk,RB,2.586,1.82959831657
58,Denard Robinson,RB,2.42166666667,1.98776675359
150,Jalen Richard,RB,2.396,1.93339856212
143,Dwayne Washington,RB,2.35,1.61130381989
145,Josh Ferguson,RB,2.25,1.06717696127
18,Matt Asiata,RB,2.24,1.53829776051
56,Jamize Olawale,RB,2.224,0.96058836137
134,Tyler Ervin,RB,2.2,1.24464854477
54,Lance Dunbar,RB,2.17166666667,1.89929899349
103,Cameron Artis-Payne,RB,2.035,1.82637163067
40,Brandon Bolden,RB,1.94166666667,1.50629899644
139,Paul Perkins,RB,1.78333333333,1.72526326493
60,Kenjon Barner,RB,1.616,1.45879402247
43,Isaiah Pead,RB,1.53,0.719235705454
97,Antonio Andrews,RB,1.522,2.08646111874
98,Orleans Darkwa,RB,1.468,1.20104954103
51,Jonathan Grimes,RB,1.3125,1.6289132369
79,Khiry Robinson,RB,1.25,1.76776695297
120,Mike Davis,RB,1.21,1.19021006549
23,Taiwan Jones,RB,1.204,1.31382266688
38,Patrick DiMarco,RB,1.17,0.541848687366
121,Malcolm Johnson,RB,1.0825,0.824676704331
133,Kenyan Drake,RB,1.02,1.02232577978
71,Knile Davis,RB,0.858333333333,0.815608157553
52,Daryl Richardson,RB,0.85,1.42779550356
15,C.J. Spiller,RB,0.816666666667,0.663651514979
20,Anthony Sherman,RB,0.77,1.47349923651
61,Zach Line,RB,0.724,0.62034667727
138,Andy Janovich,RB,0.6975,1.27664599635
59,Rex Burkhead,RB,0.693333333333,0.614415711605
129,Daniel Lasco,RB,0.666666666667,0.245017006212
128,Terron Ward,RB,0.603333333333,0.505601951473
144,Darius Jackson,RB,0.596666666667,0.514328040586
26,Jordan Todman,RB,0.5875,0.868921745613
108,Jalston Fowler,RB,0.5825,0.389647276392
36,James Develin,RB,0.525,0.418051033567
132,Jonathan Williams,RB,0.483333333333,0.410528115156
29,John Kuhn,RB,0.46,0.630872411824
123,Zach Zenner,RB,0.433333333333,0.585946527708
137,Alex Collins,RB,0.3675,0.376153780609
117,Michael Burton,RB,0.345,0.192267175219
50,Bobby Rainey,RB,0.338,0.300366442866
112,Aaron Ripkowski,RB,0.308,0.329802971484
151,Troymaine Pope,RB,0.276666666667,0.428291178211
81,Andre Williams,RB,0.266666666667,0.461880215352
148,Peyton Barber,RB,0.26,0.399499687109
25,Jacquizz Rodgers,RB,0.23,0.398371685741
62,Stepfan Taylor,RB,0.203333333333,0.21594752449
124,Corey Grant,RB,0.2,0.201370305656
88,Jay Prosch,RB,0.16,0.170098010962
118,Marcus Murphy,RB,0.135,0.27
100,George Atkinson,RB,0.108,0.124779806059
0,Jerome Felton,RB,0.0833333333333,0.144337567297
94,Roosevelt Nix,RB,0.07,0.0818535277187
127,Rod Smith,RB,0.05,0.0866025403784
83,Dri Archer,RB,0.01,0.0173205080757
39,Chase Reynolds,RB,0.00333333333333,0.0057735026919
41,Dan Herron,RB,0.0,0.0
10,Antone Smith,RB,0.0,0.0
149,Marshaun Coprich,RB,0.0,0.0
104,David Cobb,RB,0.0,0.0
147,Brandon Wilds,RB,0.0,0.0
11,Joique Bell,RB,0.0,0.0
14,Dexter McCluster,RB,0.0,0.0
24,Stevan Ridley,RB,0.0,0.0
37,DuJuan Harris,RB,0.0,0.0
125,Raheem Mostert,RB,0.0,0.0
44,Trent Richardson,RB,0.0,0.0
49,Austin Johnson,RB,0.0,0.0
53,Joe Banyard,RB,0.0,0.0
115,Joey Iosefa,RB,0.0,0.0
65,Kerwynn Williams,RB,0.0,0.0
73,Tommy Bohanon,RB,0.0,0.0
78,George Winn,RB,0.0,0.0
122,Brandon Wegher,RB,0.0,0.0
87,Bishop Sankey,RB,0.0,0.0
95,Juwan Thompson,RB,0.0,0.0
46,Ronnie Hillman,RB,0.0,0.0
